"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\app.ts", "TypeScript", 95, 1, 13, 109
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\app\app-router.ts", "TypeScript", 92, 0, 15, 107
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\app\boards-manager.ts", "TypeScript", 105, 16, 21, 142
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\app\config.ts", "TypeScript", 17, 3, 6, 26
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\app\event-manager.ts", "TypeScript", 49, 0, 7, 56
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\app\firebase.ts", "TypeScript", 352, 4, 33, 389
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\app\page-creator.ts", "TypeScript", 118, 0, 14, 132
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\app\page-manager.ts", "TypeScript", 146, 3, 24, 173
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\app\singleton.ts", "TypeScript", 9, 0, 2, 11
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\app\url-manager.ts", "TypeScript", 28, 0, 2, 30
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\app\utils.ts", "TypeScript", 56, 0, 10, 66
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\components\component.ts", "TypeScript", 181, 27, 30, 238
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\components\dialogs\base-dialog.ts", "TypeScript", 30, 0, 5, 35
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\components\dialogs\cancel-dialog.ts", "TypeScript", 51, 0, 9, 60
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\components\dialogs\choice-dialog.ts", "TypeScript", 54, 0, 9, 63
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\components\dialogs\error-dialog.ts", "TypeScript", 91, 0, 19, 110
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\components\dialogs\yes-no-cancel-dialog.ts", "TypeScript", 48, 0, 8, 56
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\components\example-component.ts", "TypeScript", 6, 17, 2, 25
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\components\forms\login-component.ts", "TypeScript", 95, 0, 16, 111
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\components\forms\pair-component.ts", "TypeScript", 97, 1, 17, 115
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\components\forms\registration-component.ts", "TypeScript", 122, 1, 19, 142
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\components\headers\header-component.ts", "TypeScript", 7, 0, 3, 10
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\components\menus\base-menu.ts", "TypeScript", 8, 0, 5, 13
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\components\menus\hamburger-menu.ts", "TypeScript", 170, 24, 34, 228
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\components\menus\menu-item.ts", "TypeScript", 7, 0, 3, 10
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\components\others\app-icon.ts", "TypeScript", 16, 0, 3, 19
