"filename", "language", "JavaScript", "JSON", "TypeScript", "HTML", "CSS", "XML", "SCSS", "comment", "blank", "total"
"c:\Users\MarekP\RPi\src\web\database.rules.json", "JSON", 0, 16, 0, 0, 0, 0, 0, 1, 0, 17
"c:\Users\MarekP\RPi\src\web\database\2020_12_16.json", "JSON", 0, 398, 0, 0, 0, 0, 0, 0, 0, 398
"c:\Users\MarekP\RPi\src\web\database\2020_12_21.json", "JSON", 0, 371, 0, 0, 0, 0, 0, 0, 1, 372
"c:\Users\MarekP\RPi\src\web\database\2020_12_22.json", "JSON", 0, 369, 0, 0, 0, 0, 0, 0, 1, 370
"c:\Users\MarekP\RPi\src\web\database\zaloha.json", "JSON", 0, 363, 0, 0, 0, 0, 0, 0, 1, 364
"c:\Users\MarekP\RPi\src\web\firebase.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 24, 0, 34
"c:\Users\MarekP\RPi\src\web\package-lock.json", "JSON", 0, 907, 0, 0, 0, 0, 0, 0, 1, 908
"c:\Users\MarekP\RPi\src\web\package.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\MarekP\RPi\src\web\pokus\index.html", "HTML", 0, 0, 0, 23, 0, 0, 0, 0, 6, 29
"c:\Users\MarekP\RPi\src\web\public\compiler.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 11, 60
"c:\Users\MarekP\RPi\src\web\public\css\style.css", "CSS", 0, 0, 0, 0, 318, 0, 0, 1, 55, 374
"c:\Users\MarekP\RPi\src\web\public\css\style.scss", "SCSS", 0, 0, 0, 0, 0, 0, 311, 3, 57, 371
"c:\Users\MarekP\RPi\src\web\public\firebase-impport.html", "HTML", 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"c:\Users\MarekP\RPi\src\web\public\img\elements.svg", "XML", 0, 0, 0, 0, 0, 106, 0, 1, 2, 109
"c:\Users\MarekP\RPi\src\web\public\index.html", "HTML", 0, 0, 0, 18, 0, 0, 0, 5, 9, 32
