Date : 2020-12-31 08:27:53
Directory : c:\Users\MarekP\RPi\src\web
Total : 134 files,  8927 codes, 428 comments, 693 blanks, all 10048 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         78 |      3,393 |        222 |         97 |      3,712 |
| JSON       |          9 |      2,462 |         86 |         14 |      2,562 |
| TypeScript |         40 |      2,225 |        103 |        439 |      2,767 |
| CSS        |          1 |        318 |          1 |         55 |        374 |
| SCSS       |          1 |        311 |          3 |         57 |        371 |
| HTML       |          4 |        112 |         12 |         29 |        153 |
| XML        |          1 |        106 |          1 |          2 |        109 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                  |        134 |      8,927 |        428 |        693 |     10,048 |
| database                                                                           |          4 |      1,501 |          0 |          3 |      1,504 |
| pokus                                                                              |          1 |         23 |          0 |          6 |         29 |
| public                                                                             |         83 |      4,207 |        232 |        233 |      4,672 |
| public\css                                                                         |          2 |        629 |          4 |        112 |        745 |
| public\img                                                                         |          1 |        106 |          1 |          2 |        109 |
| public\js                                                                          |         74 |      3,309 |        113 |         76 |      3,498 |
| public\js\app                                                                      |          8 |        468 |          7 |          8 |        483 |
| public\js\components                                                               |         29 |        937 |         36 |         29 |      1,002 |
| public\js\components\dialogs                                                       |          6 |        186 |          0 |          6 |        192 |
| public\js\components\forms                                                         |          2 |        157 |          1 |          2 |        160 |
| public\js\components\headers                                                       |          2 |         14 |          0 |          2 |         16 |
| public\js\components\menus                                                         |          3 |        135 |          6 |          3 |        144 |
| public\js\components\others                                                        |          1 |         25 |          0 |          1 |         26 |
| public\js\components\pages                                                         |         12 |        153 |         12 |         12 |        177 |
| public\js\errors                                                                   |          7 |        140 |          0 |          7 |        147 |
| public\js\errors\system-errors                                                     |          3 |         21 |          0 |          3 |         24 |
| public\js\layouts                                                                  |         14 |        785 |         39 |         16 |        840 |
| public\js\pages                                                                    |          6 |        362 |         21 |          6 |        389 |
| public\js\utils                                                                    |          9 |        523 |          9 |          9 |        541 |
| ts                                                                                 |         40 |      2,225 |        103 |        439 |      2,767 |
| ts\app                                                                             |          8 |        481 |          7 |         81 |        569 |
| ts\components                                                                      |         11 |        520 |         50 |        104 |        674 |
| ts\components\dialogs                                                              |          3 |         99 |          0 |         17 |        116 |
| ts\components\forms                                                                |          1 |         76 |          0 |         11 |         87 |
| ts\components\headers                                                              |          1 |          7 |          0 |          3 |         10 |
| ts\components\menus                                                                |          3 |        139 |          6 |         37 |        182 |
| ts\components\others                                                               |          1 |         26 |          0 |          4 |         30 |
| ts\errors                                                                          |          7 |        146 |          0 |         19 |        165 |
| ts\errors\system-errors                                                            |          3 |         26 |          0 |          8 |         34 |
| ts\layouts                                                                         |          7 |        601 |         24 |        139 |        764 |
| ts\pages                                                                           |          6 |        377 |         21 |         84 |        482 |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                           | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\MarekP\RPi\src\web\database.rules.json                                    | JSON       |         16 |          1 |          0 |         17 |
| c:\Users\MarekP\RPi\src\web\database\2020_12_16.json                               | JSON       |        398 |          0 |          0 |        398 |
| c:\Users\MarekP\RPi\src\web\database\2020_12_21.json                               | JSON       |        371 |          0 |          1 |        372 |
| c:\Users\MarekP\RPi\src\web\database\2020_12_22.json                               | JSON       |        369 |          0 |          1 |        370 |
| c:\Users\MarekP\RPi\src\web\database\zaloha.json                                   | JSON       |        363 |          0 |          1 |        364 |
| c:\Users\MarekP\RPi\src\web\firebase.json                                          | JSON       |         10 |         24 |          0 |         34 |
| c:\Users\MarekP\RPi\src\web\package-lock.json                                      | JSON       |        907 |          0 |          1 |        908 |
| c:\Users\MarekP\RPi\src\web\package.json                                           | JSON       |         17 |          0 |          1 |         18 |
| c:\Users\MarekP\RPi\src\web\pokus\index.html                                       | HTML       |         23 |          0 |          6 |         29 |
| c:\Users\MarekP\RPi\src\web\public\compiler.js                                     | JavaScript |         49 |          0 |         11 |         60 |
| c:\Users\MarekP\RPi\src\web\public\css\style.css                                   | CSS        |        318 |          1 |         55 |        374 |
| c:\Users\MarekP\RPi\src\web\public\css\style.scss                                  | SCSS       |        311 |          3 |         57 |        371 |
| c:\Users\MarekP\RPi\src\web\public\firebase-impport.html                           | HTML       |          4 |          3 |          1 |          8 |
| c:\Users\MarekP\RPi\src\web\public\img\elements.svg                                | XML        |        106 |          1 |          2 |        109 |
| c:\Users\MarekP\RPi\src\web\public\index.html                                      | HTML       |         18 |          5 |          9 |         32 |
| c:\Users\MarekP\RPi\src\web\public\js\app.js                                       | JavaScript |         94 |          1 |          1 |         96 |
| c:\Users\MarekP\RPi\src\web\public\js\app\app-router.js                            | JavaScript |        105 |          0 |          1 |        106 |
| c:\Users\MarekP\RPi\src\web\public\js\app\config.js                                | JavaScript |         37 |          3 |          1 |         41 |
| c:\Users\MarekP\RPi\src\web\public\js\app\firebase.js                              | JavaScript |         62 |          1 |          1 |         64 |
| c:\Users\MarekP\RPi\src\web\public\js\app\page-creator.js                          | JavaScript |         90 |          1 |          1 |         92 |
| c:\Users\MarekP\RPi\src\web\public\js\app\page-manager.js                          | JavaScript |        128 |          2 |          1 |        131 |
| c:\Users\MarekP\RPi\src\web\public\js\app\singleton.js                             | JavaScript |          8 |          0 |          1 |          9 |
| c:\Users\MarekP\RPi\src\web\public\js\app\url-manager.js                           | JavaScript |         22 |          0 |          1 |         23 |
| c:\Users\MarekP\RPi\src\web\public\js\app\utils.js                                 | JavaScript |         16 |          0 |          1 |         17 |
| c:\Users\MarekP\RPi\src\web\public\js\components\component.js                      | JavaScript |        160 |          9 |          1 |        170 |
| c:\Users\MarekP\RPi\src\web\public\js\components\dialogs\base-dialog.js            | JavaScript |         23 |          0 |          1 |         24 |
| c:\Users\MarekP\RPi\src\web\public\js\components\dialogs\error-dialog copy.js      | JavaScript |         24 |          0 |          1 |         25 |
| c:\Users\MarekP\RPi\src\web\public\js\components\dialogs\error-dialog.js           | JavaScript |         26 |          0 |          1 |         27 |
| c:\Users\MarekP\RPi\src\web\public\js\components\dialogs\ok-cancel-dialog.js       | JavaScript |         43 |          0 |          1 |         44 |
| c:\Users\MarekP\RPi\src\web\public\js\components\dialogs\two-choice-dialog.js      | JavaScript |         24 |          0 |          1 |         25 |
| c:\Users\MarekP\RPi\src\web\public\js\components\dialogs\yes-no-cancel-dialog.js   | JavaScript |         46 |          0 |          1 |         47 |
| c:\Users\MarekP\RPi\src\web\public\js\components\example-component.js              | JavaScript |          6 |          1 |          1 |          8 |
| c:\Users\MarekP\RPi\src\web\public\js\components\forms\login-form.js               | JavaScript |         77 |          0 |          1 |         78 |
| c:\Users\MarekP\RPi\src\web\public\js\components\forms\login.js                    | JavaScript |         80 |          1 |          1 |         82 |
| c:\Users\MarekP\RPi\src\web\public\js\components\headers\header-component.js       | JavaScript |          7 |          0 |          1 |          8 |
| c:\Users\MarekP\RPi\src\web\public\js\components\headers\header.js                 | JavaScript |          7 |          0 |          1 |          8 |
| c:\Users\MarekP\RPi\src\web\public\js\components\menus\base-menu.js                | JavaScript |          7 |          0 |          1 |          8 |
| c:\Users\MarekP\RPi\src\web\public\js\components\menus\hamburger-menu.js           | JavaScript |        121 |          6 |          1 |        128 |
| c:\Users\MarekP\RPi\src\web\public\js\components\menus\menu-item.js                | JavaScript |          7 |          0 |          1 |          8 |
| c:\Users\MarekP\RPi\src\web\public\js\components\others\app-icon.js                | JavaScript |         25 |          0 |          1 |         26 |
| c:\Users\MarekP\RPi\src\web\public\js\components\page-component.js                 | JavaScript |        101 |          7 |          1 |        109 |
| c:\Users\MarekP\RPi\src\web\public\js\components\pages\base-page.js                | JavaScript |         12 |          1 |          1 |         14 |
| c:\Users\MarekP\RPi\src\web\public\js\components\pages\blank-page copy.js          | JavaScript |          7 |          0 |          1 |          8 |
| c:\Users\MarekP\RPi\src\web\public\js\components\pages\blank-page.js               | JavaScript |          8 |          0 |          1 |          9 |
| c:\Users\MarekP\RPi\src\web\public\js\components\pages\dashboard-page.js           | JavaScript |          7 |          0 |          1 |          8 |
| c:\Users\MarekP\RPi\src\web\public\js\components\pages\dashboard.js                | JavaScript |          7 |          0 |          1 |          8 |
| c:\Users\MarekP\RPi\src\web\public\js\components\pages\home-page copy.js           | JavaScript |         17 |          0 |          1 |         18 |
| c:\Users\MarekP\RPi\src\web\public\js\components\pages\home-page.js                | JavaScript |         16 |          0 |          1 |         17 |
| c:\Users\MarekP\RPi\src\web\public\js\components\pages\login-page copy.js          | JavaScript |         10 |          3 |          1 |         14 |
| c:\Users\MarekP\RPi\src\web\public\js\components\pages\login-page.js               | JavaScript |         10 |          3 |          1 |         14 |
| c:\Users\MarekP\RPi\src\web\public\js\components\pages\settings-page copy.js       | JavaScript |         26 |          0 |          1 |         27 |
| c:\Users\MarekP\RPi\src\web\public\js\components\pages\settings-page.js            | JavaScript |         26 |          0 |          1 |         27 |
| c:\Users\MarekP\RPi\src\web\public\js\components\pages\settings.js                 | JavaScript |          7 |          5 |          1 |         13 |
| c:\Users\MarekP\RPi\src\web\public\js\errors\base-error.js                         | JavaScript |         28 |          0 |          1 |         29 |
| c:\Users\MarekP\RPi\src\web\public\js\errors\component-errors.js                   | JavaScript |         28 |          0 |          1 |         29 |
| c:\Users\MarekP\RPi\src\web\public\js\errors\method-errors.js                      | JavaScript |         37 |          0 |          1 |         38 |
| c:\Users\MarekP\RPi\src\web\public\js\errors\page-errors.js                        | JavaScript |         26 |          0 |          1 |         27 |
| c:\Users\MarekP\RPi\src\web\public\js\errors\system-errors\example-system-error.js | JavaScript |          7 |          0 |          1 |          8 |
| c:\Users\MarekP\RPi\src\web\public\js\errors\system-errors\uknown-page-error.js    | JavaScript |          7 |          0 |          1 |          8 |
| c:\Users\MarekP\RPi\src\web\public\js\errors\system-errors\undefined-page-error.js | JavaScript |          7 |          0 |          1 |          8 |
| c:\Users\MarekP\RPi\src\web\public\js\layouts\base-layout copy.js                  | JavaScript |          7 |          0 |          1 |          8 |
| c:\Users\MarekP\RPi\src\web\public\js\layouts\base-layout.js                       | JavaScript |          7 |          0 |          1 |          8 |
| c:\Users\MarekP\RPi\src\web\public\js\layouts\frame-detail.js                      | JavaScript |         54 |          0 |          1 |         55 |
| c:\Users\MarekP\RPi\src\web\public\js\layouts\frame-list copy.js                   | JavaScript |        154 |         14 |          1 |        169 |
| c:\Users\MarekP\RPi\src\web\public\js\layouts\frame-list.js                        | JavaScript |        173 |          8 |          1 |        182 |
| c:\Users\MarekP\RPi\src\web\public\js\layouts\h-stack.js                           | JavaScript |          7 |          0 |          1 |          8 |
| c:\Users\MarekP\RPi\src\web\public\js\layouts\horizontal-stack.js                  | JavaScript |          9 |          0 |          1 |         10 |
| c:\Users\MarekP\RPi\src\web\public\js\layouts\list-frame.js                        | JavaScript |         23 |          1 |          2 |         26 |
| c:\Users\MarekP\RPi\src\web\public\js\layouts\room-card copy 2.js                  | JavaScript |          7 |          0 |          1 |          8 |
| c:\Users\MarekP\RPi\src\web\public\js\layouts\room-card copy.js                    | JavaScript |          7 |          0 |          1 |          8 |
| c:\Users\MarekP\RPi\src\web\public\js\layouts\room-card.js                         | JavaScript |        280 |         16 |          2 |        298 |
| c:\Users\MarekP\RPi\src\web\public\js\layouts\tab-layout.js                        | JavaScript |         41 |          0 |          1 |         42 |
| c:\Users\MarekP\RPi\src\web\public\js\layouts\v-stack.js                           | JavaScript |          7 |          0 |          1 |          8 |
| c:\Users\MarekP\RPi\src\web\public\js\layouts\vertical-stack.js                    | JavaScript |          9 |          0 |          1 |         10 |
| c:\Users\MarekP\RPi\src\web\public\js\pages\base-page.js                           | JavaScript |         12 |          1 |          1 |         14 |
| c:\Users\MarekP\RPi\src\web\public\js\pages\blank-page.js                          | JavaScript |          7 |          0 |          1 |          8 |
| c:\Users\MarekP\RPi\src\web\public\js\pages\dashboard-page.js                      | JavaScript |          7 |          0 |          1 |          8 |
| c:\Users\MarekP\RPi\src\web\public\js\pages\home-page.js                           | JavaScript |         44 |          0 |          1 |         45 |
| c:\Users\MarekP\RPi\src\web\public\js\pages\login-page.js                          | JavaScript |         10 |          3 |          1 |         14 |
| c:\Users\MarekP\RPi\src\web\public\js\pages\settings-page.js                       | JavaScript |        282 |         17 |          1 |        300 |
| c:\Users\MarekP\RPi\src\web\public\js\utils\app-router.js                          | JavaScript |         99 |          0 |          1 |        100 |
| c:\Users\MarekP\RPi\src\web\public\js\utils\config.js                              | JavaScript |         37 |          3 |          1 |         41 |
| c:\Users\MarekP\RPi\src\web\public\js\utils\firebase.js                            | JavaScript |         62 |          1 |          1 |         64 |
| c:\Users\MarekP\RPi\src\web\public\js\utils\page-creator.js                        | JavaScript |         89 |          3 |          1 |         93 |
| c:\Users\MarekP\RPi\src\web\public\js\utils\page-manager.js                        | JavaScript |        128 |          2 |          1 |        131 |
| c:\Users\MarekP\RPi\src\web\public\js\utils\router.js                              | JavaScript |         62 |          0 |          1 |         63 |
| c:\Users\MarekP\RPi\src\web\public\js\utils\singleton.js                           | JavaScript |          8 |          0 |          1 |          9 |
| c:\Users\MarekP\RPi\src\web\public\js\utils\url-manager.js                         | JavaScript |         22 |          0 |          1 |         23 |
| c:\Users\MarekP\RPi\src\web\public\js\utils\utils.js                               | JavaScript |         16 |          0 |          1 |         17 |
