"filename", "language", "TypeScript", "JSON", "comment", "blank", "total"
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\app.ts", "TypeScript", 98, 0, 1, 12, 111
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\app\app-router.ts", "TypeScript", 105, 0, 0, 15, 120
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\app\config.ts", "TypeScript", 36, 0, 3, 11, 50
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\app\event-manager.ts", "TypeScript", 49, 0, 0, 7, 56
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\app\firebase.ts", "TypeScript", 66, 0, 1, 13, 80
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\app\page-creator.ts", "TypeScript", 101, 0, 1, 16, 118
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\app\page-manager.ts", "TypeScript", 123, 0, 3, 21, 147
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\app\singleton.ts", "TypeScript", 9, 0, 0, 2, 11
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\app\url-manager.ts", "TypeScript", 28, 0, 0, 2, 30
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\app\utils.ts", "TypeScript", 16, 0, 0, 1, 17
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\components\component.ts", "TypeScript", 167, 0, 27, 30, 224
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\components\dialogs\base-dialog.ts", "TypeScript", 23, 0, 0, 4, 27
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\components\dialogs\error-dialog.ts", "TypeScript", 28, 0, 0, 5, 33
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\components\dialogs\yes-no-cancel-dialog.ts", "TypeScript", 48, 0, 0, 8, 56
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\components\example-component.ts", "TypeScript", 6, 0, 17, 2, 25
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\components\forms\login-form.ts", "TypeScript", 76, 0, 0, 11, 87
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\components\headers\header-component.ts", "TypeScript", 7, 0, 0, 3, 10
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\components\menus\base-menu.ts", "TypeScript", 8, 0, 0, 5, 13
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\components\menus\hamburger-menu.ts", "TypeScript", 132, 0, 6, 29, 167
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\components\menus\menu-item.ts", "TypeScript", 7, 0, 0, 3, 10
